,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
42,CVG AEROSPACE LLC                                 ,13500 SW 134TH AVENUE              ,SUITE 6                            ,                                   ,MIAMI                 ,FL,33186,1C9R,SO19,1C9R855B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 10-JUN-2013,  6650        ,  10-SEP-2021,0.0,2.0,4.0,6.0,"(25.673738550000003, -80.42628920000001)",25.673738550000003,-80.42628920000001
43,CAMARILLO AVIONICS                                ,1708 EDGEMENOT DRIVE               ,                                   ,                                   ,CAMARILLO             ,CA,93010,1CKR,WP01,1CKR861B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 1-JUN-2011, , ,1.0,1.0,0.0,2.0,"(34.22683066860073, -119.0564305607471)",34.22683066860073,-119.0564305607471
44,CASTLE AVIATION AND REPAIR                        ,920 Mason Ln                       ,                                   ,                                   ,Waxahachie            ,TX,75167,1CLR,SW19,1CLR192B,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 25-JUL-2008, , ,1.0,1.0,0.0,1.0,"(32.37789176987021, -96.91627584966952)",32.37789176987021,-96.91627584966952
45,C-RAY AVIONICS INC                                ,970 BEN EPPS DRIVE                 ,SUITE A                            ,                                   ,ATHENS                ,GA,30605,1CRR,SO11,1CRR279B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008, , ,2.0,2.0,0.0,3.0,"(33.9507338, -83.3697654)",33.9507338,-83.3697654
46,AERO-FLITE INC                                    ,8520 WEST ELECTRIC AVENUE          ,                                   ,                                   ,SPOKANE               ,WA,99224,1CSR,NM13,1CSR057B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 2-FEB-2009,  6213        ,  1-AUG-2013,57.0,0.0,7.0,84.0,"(47.6211753, -117.5170107)",47.6211753,-117.5170107
47,CORE PARTS LLC                                    ,4836 E. Indigo Street              ,Suite 103                          ,                                   ,Mesa                  ,AZ,85205,1D2R,WP07,1D2R884C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 31-JUL-2019, , ,1.0,0.0,0.0,1.0,"(33.427481319589425, -111.74240219957947)",33.427481319589425,-111.74240219957947
48,LATITUDE AERO LLC                                 ,11817 Westar Lane                  ,                                   ,                                   ,Burlington            ,WA,98233,1D3D,EA39,1D3D892C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-DEC-2019, , ,0.0,2.0,0.0,3.0,"(48.47739151319686, -122.34846715542452)",48.47739151319686,-122.34846715542452
49,LATITUDE AERO LLC                                 ,235 A Burgess Rd.                  ,                                   ,                                   ,Greensboro            ,NC,27409,1D3R,EA39,1D3R892C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 26-JUL-2016, , ,0.0,2.0,4.0,6.0,"(36.086794, -79.9646499)",36.086794,-79.9646499
50,FELLFAB CORPORATION                               ,1618 Landis Highway                ,                                   ,                                   ,Mooresville           ,NC,28115,1D4R,EA68,1D4R893C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 20-OCT-2016, , ,0.0,5.0,4.0,9.0,"(35.539993, -80.8468135)",35.539993,-80.8468135
51,DASSAULT FALCON JET - WILMINGTON CORP             ,2327 SE Thunderbolt Drive          ,Hangar 12                          ,                                   ,Stuart                ,FL,34996,1D9R,SO19,1D9R931B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 8-DEC-2011,  6384        ,  1-JAN-2021,16.0,0.0,0.0,16.0,"(27.1987922, -80.2018348)",27.1987922,-80.2018348
